Material,Appliance,Item
Polymer Plastic,airfryer,Bento Box
Polymer Plastic,refrigerator,Bento Box
Polymer Plastic,microwave,Plastic Spoon
Polymer Plastic,microwave,Plastic Wrap
Polymer Plastic,airfryer,Plastic Wrap
Polymer Plastic,microwave,Solo Cup
Polymer Plastic,freezer,Tupperware
Polymer Plastic,oven,Tupperware
Polymer Plastic,dryer,Tupperware
Polymer Plastic,airfryer,Tupperware
Polymer Plastic,refrigerator,Tupperware
Polymer Plastic,dishwasher,Ziploc Bag
Polymer Plastic,freezer,Ziploc Bag
Polymer Plastic,oven,Ziploc Bag
Polymer Plastic,dryer,Ziploc Bag
Polymer Plastic,airfryer,Ziploc Bag
Polymer Plastic,refrigerator,Ziploc Bag
Poultry Product (Eggs),dryer,Egg
Poultry Product (Eggs),dryer,Eggplant
Precious Metal / Trim,freezer,Gold Silverware
Precious Metal / Trim,oven,Gold Silverware
Precious Metal / Trim,dryer,Gold Silverware
Precious Metal / Trim,airfryer,Gold Silverware
Precious Metal / Trim,refrigerator,Gold Silverware
Precious Metal / Trim,freezer,Silver Silverware
Precious Metal / Trim,oven,Silver Silverware
Precious Metal / Trim,dryer,Silver Silverware
Precious Metal / Trim,airfryer,Silver Silverware
Precious Metal / Trim,refrigerator,Silver Silverware
Prepared Food Product,microwave,Baby Food
Prepared Food Product,freezer,Batteries
Prepared Food Product,refrigerator,Batteries in Fridge
Prepared Food Product,dryer,Brown Rice
Prepared Food Product,dryer,Brownie
Prepared Food Product,dryer,Cake
Prepared Food Product,dryer,Chocolate Chip Cookies
Prepared Food Product,refrigerator,Chocolate in Fridge
Prepared Food Product,dryer,Coffee
Prepared Food Product,dryer,Cookie Dough
Prepared Food Product,dryer,Croissant
Prepared Food Product,dryer,Guacamole
Prepared Food Product,dryer,Honey
Prepared Food Product,dryer,Honeydew
Prepared Food Product,refrigerator,Hot Sauce
Prepared Food Product,dryer,Hot Sauce
Prepared Food Product,dryer,Hummus
Prepared Food Product,dryer,Jam
Prepared Food Product,dryer,Jelly
Prepared Food Product,refrigerator,Ketchup
Prepared Food Product,dryer,Ketchup
Prepared Food Product,dryer,Lentils
Prepared Food Product,dryer,Macaroni
Prepared Food Product,dryer,Maple Syrup
Prepared Food Product,dryer,Muffin
Prepared Food Product,dryer,Mustard
Prepared Food Product,dryer,Nutella
Prepared Food Product,dryer,Oatmeal
Prepared Food Product,dryer,Pie
Prepared Food Product,dryer,Pita Bread
Prepared Food Product,dryer,Pizza Dough
Prepared Food Product,dryer,Quinoa
Prepared Food Product,dryer,Salsa
Prepared Food Product,dryer,Sourdough Bread
Prepared Food Product,refrigerator,Soy Sauce
Prepared Food Product,dryer,Soy Sauce
Prepared Food Product,dryer,Spaghetti
Prepared Food Product,dryer,Tea
Prepared Food Product,dryer,Tempeh
Prepared Food Product,dryer,Tortilla
Prepared Food Product,airfryer,Wet Batter Airfryer
Prepared Food Product,dryer,White Bread
Prepared Food Product,dryer,White Rice
Prepared Food Product,dryer,Whole Wheat Bread
Soda-Lime Glass,dryer,Glass Bowl
Soda-Lime Glass,airfryer,Glass Bowl
Soda-Lime Glass,refrigerator,Glass Bowl
Soda-Lime Glass,airfryer,Glass in Airfryer
Soda-Lime Glass,dryer,Mason Jar
Soda-Lime Glass,airfryer,Mason Jar
Soda-Lime Glass,refrigerator,Mason Jar
Soda-Lime Glass,airfryer,Mason Jar Airfryer
Specialty Household Item,microwave,CD Disc
Specialty Household Item,dryer,Cauliflower
Specialty Household Item,freezer,Flowers
Specialty Household Item,refrigerator,Perfume in Fridge
Specialty Household Item,dishwasher,Sponges
Specialty Household Item,freezer,Sponges
Specialty Household Item,oven,Sponges
Specialty Household Item,dryer,Sponges
Specialty Household Item,airfryer,Sponges
Specialty Household Item,refrigerator,Sponges
Stainless Steel / Alloy Metal,freezer,Baking Sheet
Stainless Steel / Alloy Metal,oven,Baking Sheet
Stainless Steel / Alloy Metal,dryer,Baking Sheet
Stainless Steel / Alloy Metal,airfryer,Baking Sheet
Stainless Steel / Alloy Metal,refrigerator,Baking Sheet
Stainless Steel / Alloy Metal,dishwasher,Bamboo Cutting Board
Stainless Steel / Alloy Metal,dryer,Cantaloupe
Stainless Steel / Alloy Metal,freezer,Muffin Tin
Stainless Steel / Alloy Metal,dryer,Muffin Tin
Stainless Steel / Alloy Metal,airfryer,Muffin Tin
Stainless Steel / Alloy Metal,refrigerator,Muffin Tin
Stainless Steel / Alloy Metal,dishwasher,Pewter Dishes
Stainless Steel / Alloy Metal,dishwasher,Steel Wool
Stainless Steel / Alloy Metal,freezer,Steel Wool
Stainless Steel / Alloy Metal,oven,Steel Wool
Stainless Steel / Alloy Metal,dryer,Steel Wool
Stainless Steel / Alloy Metal,airfryer,Steel Wool
Stainless Steel / Alloy Metal,refrigerator,Steel Wool
Stainless Steel / Alloy Metal,dishwasher,Wooden Cutting Board
Stainless Steel / Alloy Metal,oven,Wooden Cutting Board
Stainless Steel / Alloy Metal,dryer,Wooden Cutting Board
Stainless Steel / Alloy Metal,airfryer,Wooden Cutting Board
Stainless Steel / Alloy Metal,refrigerator,Wooden Cutting Board
Stainless Steel / Alloy Metal,dishwasher,Wooden Spoon
Stainless Steel / Alloy Metal,oven,Wooden Spoon
Stainless Steel / Alloy Metal,dryer,Wooden Spoon
Stainless Steel / Alloy Metal,airfryer,Wooden Spoon
Stainless Steel / Alloy Metal,refrigerator,Wooden Spoon
Stainless Steel / Alloy Metal,oven,Wooden Spoon in Oven
Synthetic Polyester Blend,dryer,Asparagus
Synthetic Polyester Blend,dryer,Bagel
Synthetic Polyester Blend,dryer,Baseball Cap
Synthetic Polyester Blend,dryer,Beaded Dress
Synthetic Polyester Blend,dryer,Electric Blanket
Synthetic Polyester Blend,dryer,Gym Bag
Synthetic Polyester Blend,microwave,Hand Warmers
Synthetic Polyester Blend,dryer,Lace Garments
Synthetic Polyester Blend,dryer,Leather Jacket
Synthetic Polyester Blend,freezer,Memory Foam
Synthetic Polyester Blend,oven,Memory Foam
Synthetic Polyester Blend,airfryer,Memory Foam
Synthetic Polyester Blend,refrigerator,Memory Foam
Synthetic Polyester Blend,dryer,Salad Dressing
Synthetic Polyester Blend,dryer,Sequined Top
Synthetic Polyester Blend,dryer,Tights
Synthetic Polyester Blend,dryer,Velvet Hanger
Synthetic Polyester Blend,dryer,Weighted Blanket
Synthetic and Natural Footwear Materials,dryer,Ballet Flats
Synthetic and Natural Footwear Materials,freezer,Crocs
Synthetic and Natural Footwear Materials,oven,Crocs
Synthetic and Natural Footwear Materials,airfryer,Crocs
Synthetic and Natural Footwear Materials,refrigerator,Crocs
Synthetic and Natural Footwear Materials,dryer,Heels
Synthetic and Natural Footwear Materials,dryer,Leather Shoes
Synthetic and Natural Footwear Materials,freezer,Running Shoes
Synthetic and Natural Footwear Materials,oven,Running Shoes
Synthetic and Natural Footwear Materials,airfryer,Running Shoes
Synthetic and Natural Footwear Materials,refrigerator,Running Shoes
Synthetic and Natural Footwear Materials,dryer,Ugg Boots
Tempered Borosilicate Glass,airfryer,Pyrex Airfryer
